Date,Open,High,Low,Close,Adj Close,Volume
2021-01-01,3162.500000,3725.000000,3112.500000,3287.500000,2886.992676,2594266000
2021-02-01,3325.000000,3400.000000,3050.000000,3075.000000,2700.380859,2383024400
2021-03-01,3112.500000,3425.000000,3062.500000,3075.000000,2700.380859,2358185800
2021-04-01,3125.000000,3275.000000,2975.000000,3087.500000,2803.884766,1620743800
2021-05-01,3050.000000,3075.000000,2800.000000,3000.000000,2724.422607,1526738600
2021-06-01,3000.000000,3175.000000,2837.500000,2950.000000,2679.015381,1968827600
2021-07-01,2975.000000,3050.000000,2825.000000,2850.000000,2588.201416,1349325400
2021-08-01,2887.500000,3087.500000,2812.500000,3050.000000,2769.829590,1452176000
2021-09-01,3050.000000,3175.000000,2950.000000,3075.000000,2792.533203,1541881600
2021-10-01,3075.000000,3662.500000,3025.000000,3587.500000,3257.955322,2592267200
2021-11-01,3625.000000,3750.000000,3425.000000,3500.000000,3178.492920,1888179800
2021-12-01,3500.000000,3675.000000,3475.000000,3512.500000,3189.844727,1233945400
2022-01-01,3550.000000,3887.500000,3462.500000,3737.500000,3394.176514,1448451200
2022-02-01,3737.500000,3975.000000,3675.000000,3850.000000,3496.342285,1613654600
2022-03-01,3837.500000,4050.000000,3750.000000,3950.000000,3587.156250,3223316400
2022-04-01,3950.000000,4537.500000,3787.500000,4475.000000,4257.680664,2690531800
2022-05-01,4475.000000,4475.000000,3862.500000,4250.000000,4043.607178,2869860400
2022-06-01,4250.000000,4250.000000,3950.000000,3962.500000,3770.069092,2637474000
2022-07-01,3937.500000,4175.000000,3587.500000,4137.500000,3936.570557,2535249400
2022-08-01,4100.000000,4425.000000,3987.500000,4425.000000,4210.108887,1877599600
2022-09-01,4425.000000,4800.000000,4337.500000,4712.500000,4483.646973,2487323600
2022-10-01,4662.500000,5275.000000,4612.500000,5275.000000,5018.830078,1840315200
2022-11-01,5300.000000,5400.000000,4925.000000,5262.500000,5006.937012,2183194400
2022-12-01,5262.500000,5500.000000,4887.500000,4962.500000,4721.505859,3147393000
2023-01-01,4962.500000,5075.000000,4450.000000,4975.000000,4733.398926,2197536200
2023-02-01,4975.000000,5275.000000,4787.500000,5000.000000,4757.185059,1753691800
2023-03-01,5075.000000,10400.000000,4912.500000,5162.500000,4911.793457,2491489100
2023-04-01,5200.000000,5425.000000,5050.000000,5175.000000,5175.000000,1299828600
2023-05-01,5250.000000,5250.000000,4980.000000,5050.000000,5050.000000,2053623000
2023-06-01,5100.000000,5250.000000,4950.000000,5200.000000,5200.000000,1800300100
2023-07-01,5125.000000,5800.000000,5125.000000,5725.000000,5725.000000,2190789600
2023-08-01,5650.000000,6100.000000,5600.000000,6025.000000,6025.000000,1840293300
2023-09-01,6075.000000,6150.000000,5775.000000,6025.000000,6025.000000,1413167200
2023-10-01,6025.000000,6200.000000,5625.000000,5675.000000,5675.000000,1572859200
2023-11-01,5700.000000,5975.000000,5625.000000,5850.000000,5850.000000,1150273100
2023-12-01,5850.000000,6025.000000,5650.000000,5900.000000,5900.000000,1000123300
